repo,repo_url,score,stars,pushed,release_asset_count,release_asset_name,release_asset_url,is_extension,distribution,notes
nonodename/read_rdf,https://github.com/nonodename/read_rdf,20,11,2026-02-19 18:55:08,0,,,yes,unknown,
Arengard/navision_gdpdu,https://github.com/Arengard/navision_gdpdu,20,1,2026-02-17 18:04:32,0,,,yes,unknown,
m--s/quackeccak,https://github.com/m--s/quackeccak,19,0,2025-09-30 22:43:21,0,,,yes,unknown,
DataZooDE/erpl,https://github.com/DataZooDE/erpl,18,52,2026-02-11 15:43:56,0,,,yes,unknown,
luoyuxia/duckdb-extension-fluss-lake,https://github.com/luoyuxia/duckdb-extension-fluss-lake,17,5,2026-01-17 11:04:21,1,fluss.duckdb_extension.gz,https://github.com/luoyuxia/duckdb-extension-fluss-lake/releases/download/0.1.1-beta/fluss.duckdb_extension.gz,yes,unknown,
ahuarte47/duckdb-spatial-raster,https://github.com/ahuarte47/duckdb-spatial-raster,16,22,2026-01-27 07:04:19,0,,,yes,unknown,Work  in progress
loloxwg/duckdb-multi-mode,https://github.com/loloxwg/duckdb-multi-mode,16,0,2025-02-24 09:05:45,0,,,no,unknown,template clone
Aparavi-Operations/duckdb,https://github.com/Aparavi-Operations/duckdb,16,0,2026-02-05 07:19:10,0,,,no,unknown,template clone
billy0705/diff-patch-processing,https://github.com/billy0705/diff-patch-processing,16,0,2025-09-23 00:57:07,0,,,no,unknown,template clone
akashmaji946/myduckdb,https://github.com/akashmaji946/myduckdb,16,0,2025-09-06 14:33:18,0,,,no,unknown,template clone
Flogex/duckdb-faker,https://github.com/Flogex/duckdb-faker,16,0,2025-11-08 21:08:36,0,,,no,unknown,template clone
ajzo90/duckdb-extension-xxhash,https://github.com/ajzo90/duckdb-extension-xxhash,15,4,2024-09-18 07:13:44,0,,,yes,unknown,
luoyuxia/duckdb-extension-paimon,https://github.com/luoyuxia/duckdb-extension-paimon,15,4,2026-01-10 03:22:42,1,paimon.duckdb_extension,https://github.com/luoyuxia/duckdb-extension-paimon/releases/download/0.0.1-beta/paimon.duckdb_extension,yes,unknown,
jatorre/duckdb-raquet,https://github.com/jatorre/duckdb-raquet,15,3,2026-02-06 09:32:01,0,,,yes,unknown,
ajzo90/duckdb-go-extension-example,https://github.com/ajzo90/duckdb-go-extension-example,15,2,2024-09-16 05:57:49,0,,,no,unknown,template clone
MobilityDB/MobilityDuck,https://github.com/MobilityDB/MobilityDuck,15,2,2026-01-11 17:34:12,0,,,,,
Arengard/wz-extension,https://github.com/Arengard/wz-extension,15,1,2026-02-28 08:36:00,6,osx_arm64-wz.duckdb_extension.gz,https://github.com/Arengard/wz-extension/releases/download/latest/osx_arm64-wz.duckdb_extension.gz,,,
oglego/duckdb_grib2,https://github.com/oglego/duckdb_grib2,15,0,2026-01-23 02:36:15,0,,,,,
jeroenflvr/duckdb-pytable,https://github.com/jeroenflvr/duckdb-pytable,15,0,2025-02-25 18:34:28,0,,,,,
synapticore-io/astro-duck,https://github.com/synapticore-io/astro-duck,15,0,2026-02-26 21:08:40,1,astro-v1.0.0-linux_amd64.duckdb_extension,https://github.com/synapticore-io/astro-duck/releases/download/v1.0.0/astro-v1.0.0-linux_amd64.duckdb_extension,,,
newink/ch-duckdb,https://github.com/newink/ch-duckdb,15,0,2025-12-11 20:57:33,0,,,,,
michael-doubez/duckdb_smb,https://github.com/michael-doubez/duckdb_smb,15,0,2024-12-10 20:43:15,0,,,,,
Noorts/PDXearch,https://github.com/Noorts/PDXearch,14,5,2026-02-24 16:07:08,0,,,,,
mocusez/duckdb_deb_package,https://github.com/mocusez/duckdb_deb_package,14,1,2025-12-07 09:04:47,0,,,,,
babaknaimi/duckdb-raster,https://github.com/babaknaimi/duckdb-raster,14,0,2025-08-28 03:24:50,0,,,,,
fb64/duckdb-gcs-extension,https://github.com/fb64/duckdb-gcs-extension,14,0,2026-02-16 22:45:08,0,,,,,
PJBala/quackeccak,https://github.com/PJBala/quackeccak,14,0,2026-03-01 04:14:02,0,,,,,
imshubhangi/httpfs,https://github.com/imshubhangi/httpfs,14,0,2026-02-03 04:34:18,0,,,,,
euiko/duckdb-pgwire,https://github.com/euiko/duckdb-pgwire,13,25,2024-11-20 17:18:02,0,,,,,
embryo-labs/dynamic-predicate-transfer,https://github.com/embryo-labs/dynamic-predicate-transfer,13,18,2026-01-18 09:55:07,0,,,,,
lithium-tech/duckdb-graphar,https://github.com/lithium-tech/duckdb-graphar,13,12,2026-01-21 15:52:26,0,,,,,
quackscience/duckdb-extension-clickhouse-system,https://github.com/quackscience/duckdb-extension-clickhouse-system,13,5,2025-01-04 18:52:15,0,,,,,
SusieGlitter/duckdb,https://github.com/SusieGlitter/duckdb,13,1,2025-10-02 08:07:48,0,,,,,
lmangani/ducktorrent-extension,https://github.com/lmangani/ducktorrent-extension,13,1,2024-11-02 20:48:31,0,,,,,
cwida/duckdb-vldb2025,https://github.com/cwida/duckdb-vldb2025,13,1,2025-03-04 12:24:28,0,,,,,
hcl6016/duckdb,https://github.com/hcl6016/duckdb,13,0,2025-06-19 01:47:42,0,,,,,
Vedp813/Duckdb_Contribution,https://github.com/Vedp813/Duckdb_Contribution,13,0,2025-05-05 04:31:34,0,,,,,
wjywbs/duckdb-flight,https://github.com/wjywbs/duckdb-flight,13,0,2026-02-21 23:27:40,0,,,,,
MZTBTG/duckdb-gemini-import-light,https://github.com/MZTBTG/duckdb-gemini-import-light,13,0,2025-11-20 17:47:57,0,,,,,
huda-lab/packdb,https://github.com/huda-lab/packdb,13,0,2026-02-27 11:08:58,0,,,,,
jishrup/DuckDB,https://github.com/jishrup/DuckDB,13,0,2024-11-28 04:19:59,0,,,,,
ChampionNan/DuckDBYanPlus,https://github.com/ChampionNan/DuckDBYanPlus,13,0,2026-01-17 11:52:49,0,,,,,
polichar03/materialization_duckdb,https://github.com/polichar03/materialization_duckdb,13,0,2025-12-03 01:39:33,0,,,,,
hugolatendresse/rpt-plus-plus,https://github.com/hugolatendresse/rpt-plus-plus,13,0,2026-02-26 21:12:37,0,,,,,
